,25
0,-59.56097
1,-65.5888
2,-80.0
3,-77.25263
4,-73.069565
5,-80.0
6,-75.33984
7,-64.36159
8,-64.11556
9,-63.69076
10,-60.3073
11,-61.304733
12,-62.89054
13,-57.97571
14,-57.944527
15,-61.770523
16,-65.34407
17,-68.01981
18,-57.962795
19,-61.0811
20,-62.082253
21,-69.59294
22,-64.67567
23,-67.84727
24,-67.47241
25,-72.557755
26,-64.62484
27,-59.43592
28,-63.02055
29,-70.10411
30,-64.93628
31,-72.87474
32,-64.62115
33,-70.20473
34,-60.40466
35,-61.36434
36,-74.73812
37,-68.70085
38,-63.439247
39,-57.80192
40,-59.44246
41,-59.268246
42,-60.13941
43,-61.062317
44,-57.26088
45,-58.880527
46,-62.36527
47,-63.977726
48,-73.36764
49,-65.40827
50,-61.285442
51,-57.728867
52,-54.427486
53,-57.41794
54,-76.23369
55,-58.026615
56,-52.180508
57,-58.644505
58,-70.48283
59,-68.58128
60,-58.73063
61,-57.862648
62,-70.32591
63,-61.792038
64,-60.82592
65,-68.74521
66,-77.94677
67,-71.99951
68,-72.69189
69,-59.53147
70,-55.20214
71,-60.50128
72,-53.25057
73,-56.831924
74,-45.56011
75,-44.110886
76,-58.21909
77,-59.25934
78,-61.736923
79,-65.510666
80,-74.175644
81,-71.02395
82,-55.531788
83,-55.970615
84,-62.9525
85,-59.283905
86,-66.56915
87,-61.453934
88,-60.59751
89,-61.43019
90,-64.84716
91,-69.71572
92,-60.05271
93,-61.375977
94,-66.37555
95,-74.38414
96,-62.948486
97,-60.186764
98,-59.05505
99,-64.82945
100,-67.19718
101,-67.70941
102,-68.88194
103,-69.566696
104,-59.91862
105,-67.20193
106,-63.830524
107,-61.80138
108,-61.147102
109,-59.06144
110,-61.366013
111,-62.670616
112,-58.1273
113,-62.10785
114,-64.85971
115,-61.53422
116,-61.08252
117,-79.832016
118,-57.876358
119,-65.1029
120,-52.18365
121,-51.24718
122,-52.214027
123,-60.246765
124,-64.46426
125,-56.54703
126,-51.164837
127,-50.90554
128,-55.554108
129,-66.58493
130,-76.46279
131,-58.33945
132,-53.918423
133,-51.375187
134,-61.703743
135,-57.674877
136,-66.98424
137,-54.658768
138,-59.06224
139,-62.51127
140,-62.84307
141,-59.703457
142,-69.30333
143,-60.337803
144,-55.56589
145,-61.686275
146,-65.29506
147,-61.24872
148,-54.618393
149,-63.658283
150,-65.64834
151,-55.54207
152,-62.627846
153,-56.9913
154,-63.526794
155,-56.419353
156,-63.37208
157,-60.012634
158,-61.02523
159,-67.50972
160,-60.697784
161,-80.0
162,-59.619873
163,-63.8034
164,-70.83624
165,-60.163593
166,-54.882412
167,-56.695717
168,-62.80444
169,-69.35753
170,-72.55599
171,-75.59801
172,-67.581024
173,-70.19306
174,-64.86504
175,-67.68849
176,-60.441418
177,-58.653725
178,-65.3177
179,-61.509293
180,-60.840523
181,-66.9688
182,-73.99014
183,-71.37224
184,-65.903595
185,-57.228413
186,-54.891964
187,-56.54725
188,-48.183907
189,-37.08248
190,-34.507385
191,-27.399343
192,-5.490383
193,-0.21422195
194,-6.711197
195,-34.60482
196,-38.61042
197,-42.11656
198,-51.485577
199,-60.432365
200,-77.91391
201,-70.44583
202,-69.02054
203,-67.51865
204,-63.71878
205,-59.009148
206,-57.086792
207,-61.985916
208,-79.15679
