,32
0,-64.47135
1,-68.0393
2,-71.75167
3,-67.56439
4,-54.17614
5,-51.95111
6,-48.780724
7,-38.948273
8,-38.93746
9,-46.618614
10,-42.580284
11,-40.56281
12,-47.787598
13,-46.834103
14,-40.60274
15,-49.846497
16,-49.33381
17,-50.522934
18,-52.57907
19,-51.72034
20,-51.04848
21,-46.15318
22,-52.83642
23,-58.52957
24,-63.221504
25,-66.130325
26,-54.57573
27,-54.546654
28,-50.926678
29,-50.763496
30,-53.340523
31,-59.048172
32,-54.827904
33,-57.795475
34,-55.637512
35,-54.701786
36,-61.107727
37,-63.393425
38,-59.82705
39,-57.434998
40,-67.40722
41,-57.64583
42,-54.51164
43,-60.39321
44,-57.058353
45,-53.48597
46,-59.31035
47,-66.93942
48,-65.82565
49,-65.8899
50,-60.214897
51,-60.398384
52,-68.23169
53,-74.10655
54,-71.94218
55,-69.53613
56,-71.59218
57,-63.557816
58,-66.47028
59,-64.89059
60,-70.55594
61,-78.10617
62,-69.635185
63,-70.184616
64,-74.07086
65,-63.84388
66,-75.840164
67,-60.334858
68,-65.17777
69,-76.31961
70,-66.63189
71,-68.72822
72,-70.55098
73,-75.23853
74,-71.84597
75,-78.75199
76,-69.52861
77,-66.18488
78,-71.162125
79,-72.37471
80,-73.30569
81,-80.0
82,-71.20094
83,-66.316666
84,-64.5541
85,-64.143036
86,-64.28673
87,-66.479324
88,-66.41417
89,-63.442467
90,-69.046776
91,-80.0
92,-71.15844
93,-70.895935
94,-80.0
95,-78.646866
96,-67.88544
97,-67.672264
98,-80.0
99,-73.163086
100,-73.84674
101,-75.813705
102,-73.70087
103,-66.86594
104,-62.30915
105,-63.88169
106,-65.190994
107,-70.06402
108,-75.05998
109,-74.307526
110,-80.0
111,-73.50766
112,-70.860535
113,-68.49892
114,-71.38237
115,-74.60054
116,-71.80361
117,-75.20002
118,-66.16937
119,-69.21791
120,-80.0
121,-64.64063
122,-63.269283
123,-67.19774
124,-70.750084
125,-69.496056
126,-65.39802
127,-68.71355
128,-74.52885
129,-80.0
130,-69.340164
131,-62.81321
132,-62.97892
133,-80.0
134,-62.485268
135,-60.30057
136,-63.82664
137,-71.2569
138,-59.309906
139,-52.11386
140,-53.350372
141,-54.955788
142,-55.743164
143,-51.630554
144,-56.321697
145,-61.648438
146,-55.93821
147,-51.121223
148,-42.783005
149,-46.258396
150,-46.76869
151,-37.985523
152,-35.850567
153,-29.656929
154,-23.589111
155,-16.415865
156,-16.915009
157,-15.209703
158,-14.805719
159,-4.0506096
160,-9.22028
161,-10.405424
162,-13.286287
163,-9.13261
164,-7.069916
165,-6.6859894
166,-5.521591
167,-7.517227
168,-12.477884
169,-13.236755
170,-22.519297
171,-32.71779
172,-22.767746
173,-28.776127
174,-37.18555
175,-43.63762
176,-50.598473
177,-44.099857
178,-42.932404
179,-46.096764
180,-50.50229
181,-56.714188
182,-56.561108
183,-49.036648
184,-44.962166
185,-47.14816
186,-50.8308
187,-49.373734
188,-47.121437
189,-47.73782
190,-48.039455
191,-48.458645
192,-49.606865
193,-50.034115
194,-53.527733
195,-61.260498
196,-62.5736
197,-64.910675
198,-59.15703
199,-55.469055
200,-56.633343
201,-80.0
202,-62.45794
203,-55.700813
204,-58.003204
205,-62.943
206,-56.85326
207,-56.10704
208,-56.969055
209,-57.988834
210,-74.714554
211,-59.983765
212,-71.1499
213,-76.98511
214,-63.13923
215,-56.383095
216,-55.184013
217,-57.546425
218,-68.99138
219,-63.987488
220,-59.461853
221,-54.833237
222,-53.601845
223,-55.687317
224,-55.944946
225,-62.379684
226,-58.18313
227,-60.741093
228,-56.440765
229,-50.47676
230,-51.53
231,-52.76146
232,-51.03714
233,-57.132027
234,-62.07512
235,-53.126892
236,-53.080223
237,-57.18979
238,-58.353935
239,-56.348137
240,-54.464245
241,-50.467236
242,-53.05989
243,-63.62083
244,-49.05284
245,-52.632698
246,-54.812546
247,-49.286285
248,-50.715366
249,-51.769432
250,-53.654438
251,-53.74815
252,-59.133907
253,-56.191845
254,-52.421722
255,-52.503754
256,-53.061592
257,-53.344734
258,-49.80681
259,-52.03724
260,-67.50013
261,-56.00464
262,-51.18891
263,-49.265
264,-54.628426
265,-54.670284
266,-54.343018
267,-61.934288
268,-52.810223
269,-51.571075
270,-57.57376
271,-67.15057
272,-60.281956
273,-52.785152
274,-47.748104
275,-46.176453
276,-46.87935
277,-51.096474
278,-56.223587
279,-55.289444
280,-64.69829
281,-52.34016
282,-48.28199
283,-47.765404
284,-56.71358
285,-57.15828
286,-49.800983
287,-51.974247
288,-76.454636
289,-57.73622
290,-54.09153
291,-56.298973
292,-54.39674
293,-55.160515
294,-63.272015
295,-57.496727
296,-56.029335
297,-57.715424
298,-57.092377
299,-49.50789
300,-46.144127
301,-46.762276
302,-42.77838
303,-43.508255
304,-49.628975
305,-36.628914
306,-37.9905
307,-36.459194
308,-39.70622
309,-33.806107
310,-23.855265
311,-21.931532
312,-20.838802
313,-20.158022
314,-11.169647
315,-13.813667
316,-4.3690186
317,-7.205841
318,-8.616459
319,-11.504459
320,-19.665773
321,-14.512045
322,-11.718933
323,-8.583542
324,-4.454006
325,-9.564877
326,-9.260307
327,-3.8808289
328,-5.467697
329,-9.387787
330,-11.7270565
331,-6.5835114
332,-5.2272835
333,-1.9711723
334,-5.0324516
335,-4.1284866
336,-7.0351257
337,-7.077503
338,-8.659603
339,-10.05913
340,-16.244946
341,-22.435825
342,-31.13865
343,-33.1904
344,-47.528904
345,-45.237606
346,-41.09744
347,-43.784653
348,-39.97704
349,-40.085155
350,-41.614964
351,-43.791653
352,-47.19453
353,-47.938084
354,-47.954666
355,-50.401184
356,-51.575157
357,-49.0527
358,-50.367477
359,-59.079582
360,-54.679695
361,-65.93599
362,-69.8992
363,-70.109375
364,-55.444
365,-53.39708
366,-63.82498
367,-66.483246
368,-71.52125
369,-58.31687
370,-61.4346
371,-62.156685
372,-70.42958
373,-63.910404
374,-56.8917
375,-52.247604
376,-53.427464
377,-54.567093
378,-58.059437
379,-59.380096
380,-57.397152
381,-60.413605
382,-70.80816
383,-60.96015
384,-60.91117
385,-62.22135
386,-57.577713
387,-58.277294
388,-63.69509
389,-55.48394
390,-52.812004
391,-52.62422
392,-59.951225
393,-66.26597
394,-60.246387
395,-51.890617
396,-46.131107
397,-49.11542
398,-72.78636
399,-72.24868
400,-61.94729
401,-56.86577
402,-54.641155
403,-57.7713
404,-69.30318
405,-50.862408
406,-49.42333
407,-60.071674
408,-53.695408
409,-61.69139
410,-56.020164
411,-61.041206
412,-59.861954
413,-60.287796
414,-64.2565
415,-52.91439
416,-52.40374
417,-57.966053
418,-51.6355
419,-52.98327
420,-61.03022
421,-70.1077
422,-59.298004
423,-58.455708
424,-70.25482
425,-58.890877
426,-59.003178
427,-68.48099
428,-61.262585
429,-55.65779
430,-58.95699
431,-52.68425
432,-46.599487
433,-49.42489
434,-56.743176
435,-65.11404
436,-55.461525
437,-56.71012
438,-55.655113
439,-52.74507
440,-48.939983
441,-46.86498
442,-50.406307
443,-54.647312
444,-45.25485
445,-41.163773
446,-44.490402
447,-43.525017
448,-47.65618
449,-54.087296
