,3
0,-80.0
1,-80.0
2,-80.0
3,-80.0
4,-78.762825
5,-75.17969
6,-76.9659
7,-80.0
8,-77.61311
9,-74.19829
10,-79.13239
11,-76.11911
12,-71.4732
13,-76.54018
14,-78.48088
15,-64.76977
16,-63.28703
17,-68.6493
18,-71.97392
19,-63.34295
20,-64.12387
21,-67.52851
22,-64.00557
23,-65.68536
24,-79.58624
25,-74.67548
26,-76.23988
27,-80.0
28,-74.082306
29,-75.51776
30,-77.58116
31,-72.08131
32,-68.02803
33,-67.53406
34,-77.54556
35,-76.25327
36,-71.61757
37,-75.63501
38,-80.0
39,-80.0
40,-80.0
41,-80.0
42,-80.0
43,-80.0
44,-80.0
45,-80.0
46,-79.09137
47,-79.01885
48,-79.9375
49,-80.0
50,-80.0
51,-75.768776
52,-80.0
53,-80.0
54,-73.04339
55,-78.39532
56,-76.076965
57,-71.73581
58,-73.928185
59,-80.0
60,-76.39298
61,-76.70819
62,-77.50566
63,-79.18347
64,-72.51578
65,-73.17969
66,-77.72527
67,-74.54547
68,-74.552826
69,-75.99411
70,-77.73233
71,-73.12882
72,-70.16571
73,-75.123245
74,-72.041115
75,-74.05723
76,-72.06978
77,-70.71499
78,-73.89865
79,-72.53673
80,-71.71756
81,-69.9149
82,-71.37728
83,-71.68295
84,-69.870285
85,-68.37192
86,-66.7137
87,-65.86449
88,-66.35796
89,-68.434715
90,-68.29644
91,-71.037735
92,-72.84463
93,-74.6283
94,-74.92611
95,-74.208626
96,-75.60365
97,-75.025024
98,-75.701126
99,-72.59006
100,-73.30881
101,-72.973854
102,-71.17547
103,-74.18944
104,-71.426315
105,-70.10897
106,-72.15251
107,-71.53889
108,-70.74744
109,-73.66035
110,-72.42151
111,-70.24402
112,-70.776665
113,-72.874245
114,-74.051285
115,-70.67107
116,-70.9656
117,-70.231705
118,-70.092445
119,-69.2273
120,-71.35744
121,-67.26614
122,-67.47352
123,-68.08191
124,-68.43304
125,-65.993164
126,-66.44853
127,-65.118
128,-63.81582
129,-62.97089
130,-62.318764
131,-62.208553
132,-61.68851
133,-60.256676
134,-59.517567
135,-58.978317
136,-58.052017
137,-57.007217
138,-59.21395
139,-59.217964
140,-59.58617
141,-63.089195
142,-61.58465
143,-68.37991
144,-68.035225
145,-62.59729
146,-61.899303
147,-60.37829
148,-58.100975
149,-65.7785
150,-60.47104
151,-51.98183
152,-49.10226
153,-47.040672
154,-45.727116
155,-50.831215
156,-43.600433
157,-30.989933
158,-20.136467
159,-9.234528
160,-7.1802063
161,-12.875389
162,-31.881876
163,-37.93043
164,-36.324207
165,-38.133064
166,-39.01924
167,-42.762344
168,-47.67278
169,-58.355843
170,-60.421455
171,-52.647842
172,-52.87729
173,-54.889896
174,-55.533405
175,-57.242897
176,-59.254555
177,-60.34634
178,-60.835472
179,-63.47958
180,-60.48743
181,-61.202057
182,-61.041313
183,-60.132618
184,-59.711193
185,-60.205593
186,-59.180332
187,-58.537666
188,-59.64142
189,-59.241135
190,-59.225815
191,-58.67473
192,-59.02633
193,-58.07391
194,-56.76361
195,-57.758064
196,-58.685135
197,-59.32499
198,-60.983795
199,-61.79087
200,-62.143036
201,-61.41647
202,-62.39812
203,-61.693977
204,-59.98043
205,-60.45018
206,-60.759647
207,-60.776505
208,-60.069187
209,-61.07261
210,-64.074814
211,-65.509865
212,-66.10142
213,-66.50542
214,-68.23067
215,-68.8822
216,-67.62175
217,-67.32188
218,-68.528336
219,-67.93172
220,-67.473755
221,-66.950806
222,-66.35716
223,-64.89535
224,-64.039665
225,-65.81752
226,-64.75813
227,-64.527275
228,-64.92503
229,-63.32671
230,-63.211758
231,-63.36376
232,-62.638786
233,-61.629852
234,-61.840694
235,-61.12018
236,-61.44057
237,-61.033726
238,-60.972748
239,-61.340656
240,-59.17922
241,-59.184196
242,-59.33023
243,-58.348705
244,-57.506428
245,-56.97295
246,-57.054237
247,-56.583855
248,-56.51648
249,-55.99748
250,-56.442875
251,-56.593193
252,-56.644253
253,-56.80978
254,-56.347588
255,-56.14338
256,-56.805912
257,-57.338432
258,-57.172596
259,-59.324593
260,-58.466976
261,-58.275883
262,-58.572987
263,-58.791508
264,-58.597687
265,-58.456776
266,-58.165257
267,-59.061802
268,-58.930695
269,-58.96696
270,-58.866188
271,-59.457092
272,-60.734344
273,-59.9951
274,-59.92948
275,-59.745617
276,-61.488335
277,-60.696686
278,-60.362465
279,-62.903137
280,-61.344124
281,-61.51585
282,-61.416676
283,-60.62058
284,-59.979183
285,-58.495613
286,-57.468075
287,-57.99124
288,-57.377056
289,-55.405014
290,-55.56652
291,-55.970078
292,-54.139736
293,-55.693214
294,-55.1278
295,-53.018044
296,-52.53916
297,-53.064987
298,-51.19249
299,-50.03667
300,-50.52688
301,-49.998634
302,-51.76774
303,-51.001694
304,-48.44378
305,-50.022022
306,-45.578518
307,-42.012768
308,-40.010597
309,-35.993145
310,-33.65695
311,-30.996075
312,-29.969841
313,-28.257782
314,-27.155312
315,-26.005154
316,-23.904419
317,-19.544067
318,-10.296967
319,-1.8789024
320,-2.3247528
321,-12.674381
322,-27.585876
323,-25.112484
324,-24.1403
325,-24.300003
326,-25.506538
327,-27.17408
328,-29.51678
329,-32.409843
330,-36.31445
331,-37.1902
332,-39.671875
333,-44.911335
334,-48.047215
335,-56.204403
336,-59.282417
337,-54.637352
338,-53.907204
339,-56.316048
340,-54.975952
341,-55.81151
342,-56.618973
343,-56.44791
344,-58.964653
345,-56.804977
346,-55.58905
347,-54.38639
348,-55.446404
349,-55.306973
350,-55.93463
351,-55.53068
352,-55.887665
353,-55.811455
354,-55.27855
355,-56.226128
356,-55.73751
357,-55.169388
358,-55.934284
359,-55.468323
360,-54.68082
361,-55.27738
362,-55.13534
363,-55.4941
364,-55.34112
365,-54.58799
366,-54.37744
367,-55.121918
368,-54.044117
369,-53.939964
370,-55.080856
371,-55.77514
372,-54.901237
373,-55.18215
374,-55.97932
375,-57.6703
376,-54.98071
377,-54.11401
378,-54.969177
379,-55.10725
380,-55.58993
381,-56.12768
382,-56.026512
383,-55.965656
384,-57.42737
385,-58.809406
386,-59.312828
387,-59.512104
388,-61.750305
389,-60.985706
390,-61.717182
391,-61.676685
392,-62.67593
393,-63.052715
394,-60.704144
395,-61.106457
396,-59.844913
397,-60.20554
398,-61.790665
399,-60.139194
400,-60.38709
401,-62.01733
402,-61.548035
403,-60.25004
404,-59.762474
405,-61.208847
406,-60.4868
407,-59.71283
408,-60.095802
409,-60.93431
410,-63.44874
411,-61.03157
412,-61.11232
413,-62.75203
414,-63.295773
415,-61.010944
416,-62.22195
417,-61.81048
418,-60.980923
419,-63.820164
420,-62.957558
421,-64.024124
422,-62.62531
423,-62.521076
424,-64.37621
425,-61.593113
426,-60.19565
427,-61.10062
428,-62.234478
429,-60.778847
430,-59.523674
431,-59.92435
432,-62.219654
433,-60.836132
434,-60.46223
435,-60.87339
436,-61.698257
437,-60.112457
438,-61.338406
439,-63.332096
440,-58.89199
441,-64.6371
442,-59.843853
443,-60.918262
444,-62.640335
445,-60.111614
446,-61.042793
447,-59.778725
448,-58.81655
449,-57.628666
450,-58.123558
451,-56.64837
452,-59.103382
453,-57.710358
454,-56.636932
455,-56.43189
456,-55.70871
457,-55.467155
458,-54.1023
459,-53.41017
460,-51.305782
461,-50.70082
462,-49.85339
463,-48.56031
464,-47.842995
465,-50.248684
466,-49.686615
467,-48.796707
468,-50.91182
469,-45.912804
470,-43.19206
471,-39.324303
472,-38.961735
473,-38.78354
474,-40.858852
475,-37.164253
476,-27.786846
477,-21.680626
478,-8.546646
479,-2.5149155
480,-4.248726
481,-15.765167
482,-32.700188
483,-31.807302
484,-31.52183
485,-31.906506
486,-34.984592
487,-38.34787
488,-44.183876
489,-53.528717
490,-44.60445
491,-43.718307
492,-45.05501
493,-42.609074
494,-44.22996
495,-46.00922
496,-46.621536
497,-47.354443
498,-50.129417
499,-55.068314
500,-54.182106
501,-56.956608
502,-62.497322
503,-60.81835
504,-65.473045
505,-61.243374
506,-63.168625
507,-61.41413
508,-62.89776
509,-61.298943
510,-62.344326
511,-64.555824
512,-63.449776
513,-64.07948
514,-61.22205
515,-61.726288
516,-64.51538
517,-68.47443
518,-64.01831
519,-62.36745
520,-60.521595
521,-62.207508
522,-61.3548
523,-62.666767
524,-60.842777
525,-59.872086
526,-62.771385
527,-63.981712
528,-59.46479
529,-62.940865
530,-62.163372
531,-58.57971
532,-62.060787
533,-61.646065
534,-60.168476
535,-64.83054
536,-62.18366
537,-61.097298
538,-61.368786
539,-64.996666
540,-66.65935
541,-63.694904
542,-65.72158
543,-61.152565
544,-64.48117
545,-66.61603
546,-63.477074
547,-62.367302
548,-64.11993
549,-59.106045
550,-59.55066
551,-61.10616
552,-61.137733
553,-58.91625
554,-57.010414
555,-58.7455
556,-60.001007
557,-63.83132
558,-58.720474
559,-58.634117
560,-62.3692
561,-65.77094
562,-63.641556
563,-63.273502
564,-62.0846
565,-62.223145
566,-64.98369
567,-66.00738
568,-67.49601
569,-66.1929
570,-66.73572
571,-65.51663
572,-62.874023
573,-67.395424
574,-64.654236
575,-61.9955
576,-61.347805
577,-63.17754
578,-62.693142
579,-63.422997
580,-62.73486
581,-61.692215
582,-62.512188
583,-66.879166
584,-67.13963
585,-65.98605
586,-68.16379
587,-70.25125
588,-66.93332
589,-65.79964
590,-65.62809
591,-67.08678
592,-62.514263
593,-65.40551
594,-61.901184
595,-58.708485
596,-59.655865
597,-60.171448
598,-61.256676
599,-59.35449
600,-57.55782
601,-58.31379
602,-58.93289
603,-59.092606
604,-59.78217
605,-58.51583
606,-62.1076
607,-59.019398
608,-62.486702
609,-60.36573
610,-58.86346
611,-58.792957
612,-56.400555
613,-54.136726
614,-52.681038
615,-50.939613
616,-51.220474
617,-53.191746
618,-50.601234
619,-49.864212
620,-52.232254
621,-52.347397
622,-56.587677
623,-55.25435
624,-63.80557
625,-46.958374
626,-42.27034
627,-40.6286
628,-34.87847
629,-33.5826
630,-32.04124
631,-31.387667
632,-30.646584
633,-29.910366
634,-28.348854
635,-25.821518
636,-22.798458
637,-20.40015
638,-10.718964
639,-7.0546722
640,-11.556728
641,-26.422
642,-33.86069
643,-29.160885
644,-31.2148
645,-31.649742
646,-33.52737
647,-35.69642
648,-38.573322
649,-41.45597
650,-44.23214
651,-44.4042
652,-48.76561
653,-50.189182
654,-52.55098
655,-57.628876
656,-61.144547
657,-77.36411
658,-68.9636
659,-68.15802
660,-72.94286
661,-74.3236
662,-77.165855
663,-77.47754
664,-68.852516
665,-71.70618
666,-63.710674
667,-62.712967
668,-61.724945
669,-58.592495
670,-65.29378
671,-66.54055
672,-62.2571
673,-60.762268
674,-63.5796
675,-64.12526
676,-71.23086
677,-73.44038
678,-69.98188
679,-72.432335
680,-64.58603
681,-65.288506
682,-69.778534
683,-67.98335
684,-77.851845
685,-67.98396
686,-69.647964
687,-67.41536
688,-69.935326
689,-73.6874
690,-67.229065
691,-69.94463
692,-70.69741
693,-65.75963
694,-69.923164
695,-70.15401
696,-67.647125
697,-70.72394
698,-68.47936
699,-66.86129
700,-68.883095
701,-65.48974
702,-68.2943
703,-62.248337
704,-62.23732
705,-71.59842
706,-69.43038
707,-65.01073
708,-66.829796
709,-68.01184
710,-73.05368
711,-69.50505
712,-72.257576
713,-66.02579
714,-69.656395
715,-68.63495
716,-64.89998
717,-71.26889
718,-64.340645
719,-62.296505
720,-64.61424
721,-66.81046
722,-64.929535
723,-64.47378
724,-63.990257
725,-62.331158
726,-62.269196
727,-59.890255
728,-65.033714
729,-59.57046
730,-65.46912
731,-65.587746
732,-62.667393
733,-69.64141
734,-60.77637
735,-60.307636
736,-65.10349
737,-64.243004
738,-60.486095
739,-67.673904
740,-66.63147
741,-60.89427
742,-60.32937
743,-77.08112
744,-60.988747
745,-57.99974
746,-60.3718
747,-68.1534
748,-58.620537
749,-58.425262
750,-58.20434
751,-59.142742
752,-60.01882
753,-61.62598
754,-55.9916
755,-57.465134
756,-58.595158
757,-59.58883
758,-54.453857
759,-54.91868
760,-57.495827
761,-55.13698
762,-57.710545
763,-57.903828
764,-57.5432
765,-58.02172
766,-54.383247
767,-55.196045
768,-56.273525
769,-56.74258
770,-51.53163
771,-53.143227
772,-55.314198
773,-52.810375
774,-52.003952
775,-51.970768
776,-52.715015
777,-50.736973
778,-46.77319
779,-47.0723
780,-45.35021
781,-42.002846
782,-39.94933
783,-37.47747
784,-38.0712
785,-38.37744
786,-35.680225
787,-37.540962
788,-33.78503
789,-32.752235
790,-33.63682
791,-35.01662
792,-38.84578
793,-43.27774
794,-36.05011
795,-27.662693
796,-21.901917
797,-16.34534
798,-6.396736
799,-4.2214737
800,-10.108818
801,-30.487152
802,-36.270935
803,-29.450125
804,-32.8525
805,-33.540634
806,-36.064674
807,-38.432785
808,-42.450737
809,-42.479492
810,-44.42844
811,-47.827225
812,-44.775414
813,-44.26625
814,-46.127308
815,-47.310337
816,-49.011982
817,-48.30095
818,-48.97666
819,-53.081127
820,-50.736233
821,-53.07826
822,-53.856457
823,-52.002674
