,219
0,-42.82396
1,-45.258804
2,-46.81514
3,-47.35668
4,-53.587452
5,-56.41619
6,-54.89896
7,-57.331936
8,-70.84374
9,-80.0
10,-73.01847
11,-66.84042
12,-64.36805
13,-74.57022
14,-70.62245
15,-58.734085
16,-59.08709
17,-51.996925
18,-33.59792
19,-18.344011
20,-25.825424
21,-11.79863
22,-18.454218
23,-39.97413
24,-47.967453
25,-61.508667
26,-55.455482
27,-58.623383
28,-52.338177
29,-53.117393
30,-69.65982
31,-49.73684
32,-50.69088
33,-49.143982
34,-43.778206
35,-50.315216
36,-53.21917
37,-45.679413
38,-29.372366
39,-24.655655
40,-25.938248
41,-4.389675
42,-2.101595
43,-11.276291
44,-30.406649
45,-43.45201
46,-47.84178
47,-64.42946
48,-63.31497
49,-56.723175
50,-57.032623
51,-54.15181
52,-50.12972
53,-56.157486
54,-52.325184
55,-46.904015
56,-44.953728
57,-30.701777
58,-26.38543
59,-25.121956
60,-18.562815
61,-16.544823
62,-15.365896
63,-16.49294
64,-23.29467
65,-44.497253
66,-53.496574
67,-60.204155
68,-59.642666
69,-70.920746
70,-64.43404
71,-61.210392
72,-58.73642
73,-59.437744
74,-75.65185
75,-79.20784
76,-60.76629
77,-45.48238
78,-38.86981
79,-46.60358
80,-39.001568
81,-36.683483
82,-26.727386
83,-21.30773
84,-25.835697
85,-31.970688
86,-48.144516
87,-56.591816
88,-61.1914
89,-56.473557
90,-56.045357
91,-54.87789
92,-57.055786
93,-57.24833
94,-61.228653
95,-58.894867
96,-50.92804
97,-39.446156
98,-35.859577
99,-35.30774
100,-33.69882
101,-34.858063
102,-24.357687
103,-16.706993
104,-10.530092
105,-13.522949
106,-23.004498
107,-41.71502
108,-45.799915
109,-51.639725
110,-54.84919
111,-47.78498
112,-48.37548
113,-51.2761
114,-48.892998
115,-46.29572
116,-47.5748
117,-31.84865
118,-27.182161
119,-33.378746
120,-37.627617
121,-26.026346
122,-33.556763
123,-19.486805
124,-10.750317
125,-8.048138
126,-15.011892
127,-26.921837
128,-38.023373
129,-48.641678
130,-44.21961
131,-52.859783
132,-55.048016
133,-68.312454
134,-60.308365
135,-55.03827
136,-51.872936
137,-46.08279
138,-36.336132
139,-38.976048
140,-55.98337
141,-49.618217
